ACCT,202,104,4817, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,105,1520, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,2,1496,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,2,2577,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,3,1497,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,3,2580,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,4,1500,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,4,2583,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,5,1503,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,5,4812,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,6,1505,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,6,4813,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,900,6132,Ziegler J,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,900,4818, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,900,1150,Russo C,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,M22,       
ACCT,202,901,2590, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,901,1151,Bonaparte I,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,M22,       
ACCT,300,1,1523,Romero J,DA ACCT INFO SYSTEMS W/CONNECT,RICHARDSON,3,9781260983159,IN,F21,       
ACCT,300,1,2593,Romero J,DA ACCT INFO SYSTEMS W/CONNECT,RICHARDSON,3,9781260983159,IN,S22,       
ACCT,300,2,1524,Romero J,DA ACCT INFO SYSTEMS W/CONNECT,RICHARDSON,3,9781260983159,IN,F21,       
ACCT,300,900,4819,Romero J,DA ACCT INFO SYSTEMS W/CONNECT,RICHARDSON,3,9781260983159,IN,S22,       
ACCT,301,1,1526,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
ACCT,301,1,2597,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,301,101,4820, ,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,S22,       
ACCT,301,2,1528,Azmi Shabestari M,DA INTERMEDIATE ACCT. W/CONNECT,SPICELAND,10TH,9781264303489,IN,F21,       
